Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,//,150723,1788,3100.0,3782.0385510406854,66.31589494645596,130943.24927218258,941.0446448120061,687.067985773674,8.150564668718967,3100,5000,5500,5700,7100,8200,9800,17000,73000,131000,131000
,Aggregated,150723,1788,3100.0,3782.0385510406854,66.31589494645596,130943.24927218258,941.0446448120061,687.067985773674,8.150564668718967,3100,5000,5500,5700,7100,8200,9800,17000,73000,131000,131000
