Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,//,13141809,588,16,57.855037887026484,1.9151039996359032,19462.8045999998,949.9574944362682,11599.680770631338,0.5190010213305661,16,38,65,87,190,270,300,320,550,2200,19000
,Aggregated,13141809,588,16,57.855037887026484,1.9151039996359032,19462.8045999998,949.9574944362682,11599.680770631338,0.5190010213305661,16,38,65,87,190,270,300,320,550,2200,19000
