Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,//,10205910,13,7,39.21427359133061,2.5156510000670096,101636.9122000001,949.9987899168227,9113.029128341066,0.011607919202543808,7,9,27,87,150,160,170,180,440,2100,102000
,Aggregated,10205910,13,7,39.21427359133061,2.5156510000670096,101636.9122000001,949.9987899168227,9113.029128341066,0.011607919202543808,7,9,27,87,150,160,170,180,440,2100,102000
