Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,//,15370297,123,16,59.179828758908165,2.5112440002885705,17933.30530000003,949.9923976745537,12168.524101739507,0.09737797939193754,16,38,64,88,210,290,310,320,560,2500,18000
,Aggregated,15370297,123,16,59.179828758908165,2.5112440002885705,17933.30530000003,949.9923976745537,12168.524101739507,0.09737797939193754,16,38,64,88,210,290,310,320,560,2500,18000
